City,Country,Latitude,Longitude,Max_temp_F,Humidity_Percent,Cloudy_Percent,Wind_Speed_mph,Date
Mataura,New Zealand,-46.19,168.86,50.94,70,39,3.29,12/15/2020
Whitehorse,Canada,60.72,-135.05,6.8,84,90,2.24,12/15/2020
Hualmay,Peru,-11.1,-77.61,73.31,67,43,10.4,12/15/2020
Birjand,Iran,32.87,59.22,30.2,63,0,6.93,12/15/2020
Albany,United States,42.6,-73.97,33.01,36,9,1.99,12/15/2020
Poum,New Caledonia,-20.23,164.02,78.66,74,0,17.96,12/15/2020
Cherepanovo,Russia,54.22,83.38,2.25,94,100,8.52,12/15/2020
Alofi,Niue,-19.06,-169.92,77,94,90,27.51,12/15/2020
Kahului,United States,20.89,-156.47,73,73,40,3.36,12/15/2020
Barrow,United States,71.29,-156.79,-5.8,76,1,23.04,12/15/2020
Shubarshi,Kazakhstan,48.59,57.19,14.79,89,4,10.07,12/15/2020
Neuquén,Argentina,-38.95,-68.06,69.8,32,0,9.17,12/15/2020
Chokurdakh,Russia,70.63,147.92,-31.16,86,86,2.06,12/15/2020
Punta,Philippines,8.99,125.34,74.77,84,100,3.38,12/15/2020
Airai,Timor-Leste,-8.93,125.41,61.32,100,100,2.28,12/15/2020
Atuona,French Polynesia,-9.8,-139.03,78.84,77,9,22.01,12/15/2020
Port,DR Congo,-7.03,29.76,73.49,73,72,3.11,12/15/2020
El Puerto de Santa María,Spain,36.59,-6.23,61,76,40,1.86,12/15/2020
Vila,Portugal,42.03,-8.16,48.99,89,99,13,12/15/2020
Baker,United States,30.59,-91.17,48.99,81,90,9.17,12/15/2020
Cockburn,Australia,-32.08,141,78.8,39,30,17.22,12/15/2020
Waipawa,New Zealand,-41.41,175.52,59,77,0,25.28,12/15/2020
Saint-François,France,46.42,3.91,51.01,100,100,2.24,12/15/2020
Visnes,Norway,59.36,5.22,48.2,81,75,11.41,12/15/2020
Jijiga,Ethiopia,9.35,42.8,58.57,52,0,7,12/15/2020
Hermanus,South Africa,-34.42,19.23,63,72,19,8.81,12/15/2020
Codrington,Australia,-38.27,141.97,55.11,93,100,16.35,12/15/2020
Hobyo,Somalia,5.35,48.53,77.92,74,19,19.91,12/15/2020
Rio,Greece,38.3,21.78,60.8,63,0,12.75,12/15/2020
Fare,French Polynesia,-16.7,-151.02,80.55,78,39,17.98,12/15/2020
Ambulu,Indonesia,-8.35,113.61,74.98,93,100,3.76,12/15/2020
Hobart,Australia,-42.88,147.33,55.4,54,90,14.99,12/15/2020
Guerrero,Mexico,17.67,-100,78.6,50,50,3.65,12/15/2020
Asău,Romania,46.43,26.4,33.01,100,12,1.34,12/15/2020
Sao,India,20.51,76.21,73.53,44,79,4.41,12/15/2020
Tadine,New Caledonia,-21.55,167.88,75.65,80,32,19.08,12/15/2020
Shuangyang,China,43.52,125.67,-9.4,63,0,6.71,12/15/2020
Upernavik,Greenland,72.79,-56.15,7.93,84,0,6.15,12/15/2020
Port,DR Congo,-7.03,29.76,73.49,73,72,3.11,12/15/2020
Cayenne,French Guiana,4.93,-52.33,86,74,40,11.41,12/15/2020
Rikitea,French Polynesia,-23.12,-134.97,76.62,72,7,7.09,12/15/2020
Martapura,Indonesia,-3.42,114.85,75.2,100,75,2.24,12/15/2020
Opuwo,Namibia,-18.06,13.84,75.87,29,0,13.49,12/15/2020
Chui,Uruguay,-33.7,-53.46,78.26,44,0,12.59,12/15/2020
Thinadhoo,Maldives,0.53,72.93,82.54,66,21,7.65,12/15/2020
Bambous,Mauritius,-20.26,57.41,77,94,75,13.87,12/15/2020
Mar,Spain,43.4,-4.01,57.2,47,0,12.75,12/15/2020
Solwezi,Zambia,-12.17,26.39,64.35,95,100,5.64,12/15/2020
Mount,United Kingdom,53.66,-1.85,45,90,40,3,12/15/2020
Saskylakh,Russia,71.92,114.08,-29.43,83,61,5.55,12/15/2020
Ushuaia,Argentina,-54.8,-68.3,44.6,81,75,32.21,12/15/2020
Maryborough,Australia,-25.53,152.7,73,92,8,1.01,12/15/2020
Bengkulu,Indonesia,-3.8,102.27,77.09,86,100,6.78,12/15/2020
Sanming,China,26.25,117.62,42.84,80,98,2.84,12/15/2020
El Puerto de Santa María,Spain,36.59,-6.23,61,76,40,1.86,12/15/2020
